experiment_type,clustering_method,clustering_param,feature_extraction_method,similarity_threshold,num_clusters,num_pairs_to_compute,adjusted_rand_index,normalized_mutual_info,precision,recall,f1_score,true_positives,false_positives,false_negatives
clustering_only,kmeans_manual,3,sentence_transformer,,3,0,0.33226445728834525,0.5452424453842672,0.356651376146789,1.0,0.5257819103972949,1244,2244,0
clustering + API,kmeans_manual,3,sentence_transformer,0.7,13,1420,0.9994998748106353,0.9966769887161636,0.9991967871485944,1.0,0.9995982322217759,1244,1,0
clustering + API,kmeans_manual,3,sentence_transformer,0.8,15,1420,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering + API,kmeans_manual,3,sentence_transformer,0.9,15,1420,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering_only,kmeans_manual,4,sentence_transformer,,4,0,0.6156402939938431,0.7493308082747484,0.553873552983081,1.0,0.712893982808023,1244,1002,0
clustering + API,kmeans_manual,4,sentence_transformer,0.7,13,1420,0.9994998748106353,0.9966769887161636,0.9991967871485944,1.0,0.9995982322217759,1244,1,0
clustering + API,kmeans_manual,4,sentence_transformer,0.8,15,1420,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering + API,kmeans_manual,4,sentence_transformer,0.9,15,1420,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering_only,kmeans_manual,5,sentence_transformer,,5,0,0.8586719199927838,0.8710564322732351,0.8010302640051513,1.0,0.889524490525563,1244,309,0
clustering + API,kmeans_manual,5,sentence_transformer,0.7,13,1266,0.9994998748106353,0.9966769887161636,0.9991967871485944,1.0,0.9995982322217759,1244,1,0
clustering + API,kmeans_manual,5,sentence_transformer,0.8,15,1266,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering + API,kmeans_manual,5,sentence_transformer,0.9,15,1266,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering_only,kmeans_manual,6,sentence_transformer,,6,0,0.8928833312438943,0.9050953982455079,0.8445349626612356,1.0,0.9157158630842842,1244,229,0
clustering + API,kmeans_manual,6,sentence_transformer,0.7,13,1266,0.9994998748106353,0.9966769887161636,0.9991967871485944,1.0,0.9995982322217759,1244,1,0
clustering + API,kmeans_manual,6,sentence_transformer,0.8,15,1266,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering + API,kmeans_manual,6,sentence_transformer,0.9,15,1266,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering_only,kmeans_manual,7,sentence_transformer,,7,0,0.8293959004973223,0.8498496730349102,0.8072372999304106,0.932475884244373,0.8653487504662439,1160,277,84
clustering + API,kmeans_manual,7,sentence_transformer,0.7,15,1182,0.9563772802416687,0.966056807332033,0.9991386735572783,0.932475884244373,0.9646569646569646,1160,1,84
clustering + API,kmeans_manual,7,sentence_transformer,0.8,17,1182,0.9131014618582565,0.9479654122241589,1.0,0.867363344051447,0.9289711579853638,1079,0,165
clustering + API,kmeans_manual,7,sentence_transformer,0.9,17,1182,0.9131014618582565,0.9479654122241589,1.0,0.867363344051447,0.9289711579853638,1079,0,165
clustering_only,kmeans_auto,,sentence_transformer,,6,0,0.8928833312438943,0.9050953982455079,0.8445349626612356,1.0,0.9157158630842842,1244,229,0
clustering + API,kmeans_auto,,sentence_transformer,0.7,13,1266,0.9994998748106353,0.9966769887161636,0.9991967871485944,1.0,0.9995982322217759,1244,1,0
clustering + API,kmeans_auto,,sentence_transformer,0.8,15,1266,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering + API,kmeans_auto,,sentence_transformer,0.9,15,1266,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering_only,hierarchical,0.8,sentence_transformer,,10,0,0.9940184663781347,0.9792686247003447,0.9904458598726115,1.0,0.9952,1244,12,0
clustering + API,hierarchical,0.8,sentence_transformer,0.7,13,1245,0.9994998748106353,0.9966769887161636,0.9991967871485944,1.0,0.9995982322217759,1244,1,0
clustering + API,hierarchical,0.8,sentence_transformer,0.8,15,1245,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering + API,hierarchical,0.8,sentence_transformer,0.9,15,1245,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering_only,hierarchical,1.0,sentence_transformer,,4,0,0.7590920185501586,0.8248974332826562,0.6880530973451328,1.0,0.8152031454783748,1244,564,0
clustering + API,hierarchical,1.0,sentence_transformer,0.7,13,1399,0.9994998748106353,0.9966769887161636,0.9991967871485944,1.0,0.9995982322217759,1244,1,0
clustering + API,hierarchical,1.0,sentence_transformer,0.8,15,1399,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering + API,hierarchical,1.0,sentence_transformer,0.9,15,1399,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering_only,hierarchical,1.2,sentence_transformer,,2,0,0.3682276172662903,0.5304194689984129,0.3778857837181045,1.0,0.5485008818342152,1244,2048,0
clustering + API,hierarchical,1.2,sentence_transformer,0.7,13,1399,0.9994998748106353,0.9966769887161636,0.9991967871485944,1.0,0.9995982322217759,1244,1,0
clustering + API,hierarchical,1.2,sentence_transformer,0.8,15,1399,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering + API,hierarchical,1.2,sentence_transformer,0.9,15,1399,0.9584559901027334,0.9772307775051177,1.0,0.934887459807074,0.966348151225592,1163,0,81
clustering_only,dbscan_manual,"(0.5, 5)",sentence_transformer,,5,0,0.9976118784427662,0.9913750779001756,0.9963536918869644,1.0,0.9981735159817352,1093,4,0
clustering + API,dbscan_manual,"(0.5, 5)",sentence_transformer,0.7,22,1093,0.9208289033065454,0.9384317647857915,1.0,0.8786173633440515,0.9353872486093282,1093,0,151
clustering + API,dbscan_manual,"(0.5, 5)",sentence_transformer,0.8,23,1093,0.8751418595094178,0.9183518045749984,1.0,0.8135048231511254,0.8971631205673758,1012,0,232
clustering + API,dbscan_manual,"(0.5, 5)",sentence_transformer,0.9,23,1093,0.8751418595094178,0.9183518045749984,1.0,0.8135048231511254,0.8971631205673758,1012,0,232
clustering_only,dbscan_manual,"(0.6, 5)",sentence_transformer,,5,0,0.9978250444196992,0.9916577177640529,0.9966969446738233,1.0,0.9983457402812242,1207,4,0
clustering + API,dbscan_manual,"(0.6, 5)",sentence_transformer,0.7,18,1207,0.981279471703327,0.9766775099562266,1.0,0.9702572347266881,0.9849041207670339,1207,0,37
clustering + API,dbscan_manual,"(0.6, 5)",sentence_transformer,0.8,19,1207,0.9387740376415888,0.9549464323715208,1.0,0.905144694533762,0.9502109704641349,1126,0,118
clustering + API,dbscan_manual,"(0.6, 5)",sentence_transformer,0.9,19,1207,0.9387740376415888,0.9549464323715208,1.0,0.905144694533762,0.9502109704641349,1126,0,118
clustering_only,dbscan_manual,"(0.7, 5)",sentence_transformer,,4,0,0.8994360299817598,0.925980777825618,0.8603196664350243,1.0,0.9249159506910721,1238,201,0
clustering + API,dbscan_manual,"(0.7, 5)",sentence_transformer,0.7,17,1392,0.9969928604195549,0.9869251935121204,1.0,0.9951768488745981,0.9975825946817084,1238,0,6
clustering + API,dbscan_manual,"(0.7, 5)",sentence_transformer,0.8,18,1392,0.955295173851019,0.9647408806213456,1.0,0.930064308681672,0.963765097875885,1157,0,87
clustering + API,dbscan_manual,"(0.7, 5)",sentence_transformer,0.9,18,1392,0.955295173851019,0.9647408806213456,1.0,0.930064308681672,0.963765097875885,1157,0,87
clustering_only,dbscan_auto,,sentence_transformer,,4,0,0.8654746196654431,0.8988382997325217,0.816622691292876,1.0,0.8990559186637618,1238,278,0
clustering + API,dbscan_auto,,sentence_transformer,0.7,17,1392,0.9969928604195549,0.9869251935121204,1.0,0.9951768488745981,0.9975825946817084,1238,0,6
clustering + API,dbscan_auto,,sentence_transformer,0.8,18,1392,0.955295173851019,0.9647408806213456,1.0,0.930064308681672,0.963765097875885,1157,0,87
clustering + API,dbscan_auto,,sentence_transformer,0.9,18,1392,0.955295173851019,0.9647408806213456,1.0,0.930064308681672,0.963765097875885,1157,0,87
